Date,Body mass(kg)
2022-08-08 12:00:00,82.200
2022-08-12 07:42:05,81.400
2022-08-13 08:19:16,81.200
2022-08-16 07:41:41,82.000
2022-08-19 09:14:30,82.300
2022-08-19 09:14:42,82.300
2022-08-20 08:25:43,82.200
2022-08-20 08:25:57,82.200
2022-08-20 08:26:09,82.200
2022-08-22 08:34:27,82.200
2022-08-23 08:47:52,81.700
2022-08-23 08:48:04,81.700
2022-08-25 08:44:22,81.200
2022-08-25 08:44:36,81.200
2022-08-31 07:24:30,81.800
2022-08-31 07:24:48,81.800
2022-09-01 09:10:05,81.200
2022-09-02 07:06:35,81.600
2022-09-02 07:06:51,81.600
2022-09-03 07:41:28,81.900
2022-09-04 07:58:01,81.900
2022-09-04 07:58:15,81.900
2022-09-05 07:12:35,81.700
2022-09-05 07:12:49,81.700
2022-09-06 07:58:31,81.100
2022-09-06 07:58:48,81.100
2022-09-07 07:38:59,81.000
2022-09-07 07:39:18,81.000
2022-09-08 08:19:01,81.100
2022-09-08 08:19:49,81.100
2022-09-08 11:04:22,80.900
2022-09-08 11:04:36,80.900
2022-09-09 09:01:38,80.900
2022-09-09 09:01:52,80.900
2022-09-11 07:51:39,80.700
2022-09-11 07:51:51,80.700
2022-09-12 11:39:07,80.900
2022-09-13 09:29:20,80.800
2022-09-13 09:29:35,80.800
2022-09-18 08:55:21,80.400
2022-09-18 08:55:33,80.400
2022-09-19 09:54:53,80.200
2022-09-19 09:55:05,80.200
2022-09-20 09:10:34,80.600
2022-09-23 11:21:59,80.700
2022-09-23 11:22:16,80.700
2022-09-24 11:17:06,80.200
2022-09-24 11:17:18,80.200
2022-09-26 09:49:43,80.500
2022-09-26 09:49:54,80.500
2022-09-27 10:42:06,80.200
2022-09-27 10:42:18,80.200
2022-09-29 08:59:58,80.400
2022-09-29 09:00:10,80.400
2022-09-30 09:02:49,80.000
2022-09-30 09:03:02,80.000
2022-10-03 08:25:02,80.500
2022-10-03 08:25:16,80.500
2022-10-04 08:12:56,80.200
2022-10-04 08:13:15,80.200
2022-10-05 09:49:03,79.800
2022-10-05 09:49:18,79.800
2022-10-07 06:09:54,79.900
2022-10-07 06:10:32,79.900
2022-10-07 06:10:44,79.900
2022-10-12 08:18:03,79.600
2022-10-12 08:18:18,79.600
2022-10-13 08:01:26,80.200
2022-10-13 08:01:50,80.200
2022-10-13 08:02:03,80.200
2022-10-14 07:04:33,80.000
2022-10-14 07:04:47,80.000
2022-10-14 08:12:00,79.900
2022-10-14 08:12:12,79.900
2022-10-17 08:53:19,78.900
2022-10-17 08:53:32,78.900
2022-10-18 08:35:53,78.900
2022-10-18 08:36:09,78.900
2022-10-19 09:47:44,79.300
2022-10-19 09:47:57,79.300
2022-10-19 09:48:20,79.300
2022-10-20 11:28:20,79.400
2022-10-20 11:28:32,79.400
2022-10-21 08:16:08,79.500
2022-10-21 08:16:21,79.500
2022-10-22 10:18:54,79.200
2022-10-22 10:19:08,79.200
2022-10-23 08:57:37,79.200
2022-10-23 10:59:39,79.300
2022-10-24 08:06:41,79.200
2022-10-24 08:06:54,79.200
2022-10-25 08:32:50,78.800
2022-10-25 08:33:00,78.800
2022-10-26 08:09:12,78.500
2022-10-26 08:09:27,78.500
2022-10-27 07:26:55,78.700
2022-10-27 07:27:15,78.700
2022-10-28 09:15:19,78.600
2022-10-28 09:15:34,78.600
2022-10-29 08:21:59,78.200
2022-10-29 08:22:16,78.200
2022-10-30 08:59:54,78.700
2022-10-30 09:00:05,78.700
2022-10-31 09:41:10,78.700
2022-10-31 09:41:21,78.700
2022-11-01 08:23:17,78.700
2022-11-01 08:23:30,78.700
2022-11-02 09:09:22,78.900
2022-11-02 09:09:35,78.900
2022-11-02 09:10:08,78.900
2022-11-02 09:10:22,78.900
2022-11-03 08:06:49,78.900
2022-11-03 08:09:06,78.800
2022-11-04 09:52:01,78.000
2022-11-04 09:52:27,78.000
2022-11-05 08:56:33,77.900
2022-11-05 08:56:47,77.900
2022-11-06 09:08:20,77.700
2022-11-06 09:08:32,77.700
2022-11-07 08:06:46,77.800
2022-11-07 08:07:10,77.800
2022-11-07 08:07:23,77.800
2022-11-07 12:00:00,77.800
2022-11-08 07:54:56,77.800
2022-11-08 09:46:22,77.800
2022-11-09 07:24:39,77.300
2022-11-09 07:24:52,77.300
2022-11-10 07:24:28,77.300
2022-11-10 07:25:21,77.300
2022-11-11 07:12:35,77.100
2022-11-11 07:12:49,77.100
2022-11-12 07:45:09,77.300
2022-11-12 07:45:21,77.300
2022-11-12 12:19:31,77.400
2022-11-12 12:19:44,77.400
2022-11-13 09:03:09,77.400
2022-11-13 09:03:25,77.400
2022-11-14 06:23:03,77.200
2022-11-14 06:23:16,77.200
2022-11-15 09:05:28,77.600
2022-11-15 09:05:40,77.600
2022-11-16 08:46:01,77.400
2022-11-16 08:46:25,77.400
2022-11-17 08:23:14,77.200
2022-11-17 09:39:26,77.200
2022-11-18 09:58:33,77.200
2022-11-18 09:58:49,77.200
2022-11-19 08:10:04,76.700
2022-11-19 08:10:15,76.700
2022-11-19 08:10:32,76.700
2022-11-20 08:27:00,77.100
2022-11-20 08:27:16,77.100
2022-11-21 08:01:33,76.800
2022-11-21 08:01:49,76.800
2022-11-22 07:39:33,76.900
2022-11-22 07:40:18,76.900
2022-11-22 07:40:32,76.900
2022-11-23 07:36:53,76.800
2022-11-24 07:20:24,77.100
2022-11-24 07:20:45,77.100
2022-11-25 06:47:53,76.900
2022-11-25 06:48:07,76.900
2022-11-26 10:53:08,76.800
2022-11-26 10:53:20,76.800
2022-11-27 08:06:31,76.900
2022-11-27 08:07:06,76.900
2022-11-28 07:37:14,77.300
2022-11-28 07:37:27,77.300
2022-11-29 07:46:41,77.300
2022-11-29 07:47:01,77.300
2022-11-30 08:02:49,76.400
2022-11-30 08:03:01,76.400
2022-12-01 07:42:21,76.400
2022-12-01 07:42:36,76.400
2022-12-01 07:43:09,76.400
2022-12-02 08:25:06,76.700
2022-12-02 09:46:48,76.400
2022-12-02 09:47:02,76.400
2022-12-03 08:40:49,76.300
2022-12-03 08:41:01,76.300
2022-12-04 10:02:06,76.100
2022-12-04 10:02:17,76.100
2022-12-05 07:23:35,76.700
2022-12-05 07:23:51,76.700
2022-12-06 07:39:35,76.700
2022-12-06 07:39:48,76.700
2022-12-07 07:23:58,76.500
2022-12-08 07:41:44,75.900
2022-12-08 07:41:58,75.900
2022-12-09 07:14:53,76.200
2022-12-09 07:15:04,76.200
2022-12-10 10:42:42,75.900
2022-12-10 10:42:59,75.900
2022-12-12 09:17:01,76.500
2022-12-12 09:17:12,76.500
2022-12-13 10:11:19,76.500
2022-12-16 09:40:46,76.400
2022-12-16 09:41:04,76.400
2022-12-17 10:22:13,76.100
2022-12-17 10:22:26,76.100
2022-12-19 09:09:39,77.000
2022-12-20 09:51:10,76.800
2022-12-20 09:51:29,76.800
2022-12-27 08:32:19,76.000
2022-12-27 08:32:34,76.000
2022-12-28 07:17:10,76.700
2022-12-28 07:17:23,76.700
2022-12-29 09:43:11,76.200
2022-12-29 09:43:25,76.200
2022-12-29 09:43:42,76.200
2022-12-30 07:46:48,76.300
2022-12-30 07:47:06,76.300
2023-01-01 11:18:14,76.700
2023-01-01 11:18:33,76.700
2023-01-01 11:18:50,76.700
2023-01-02 08:25:41,76.900
2023-01-02 08:25:56,76.900
2023-01-02 08:26:12,76.900
2023-01-03 08:37:39,77.100
2023-01-03 08:37:56,77.100
2023-01-03 08:38:11,77.100
2023-01-04 08:24:41,76.700
2023-01-04 08:24:54,76.700
2023-01-05 08:18:54,76.600
2023-01-05 08:19:09,76.600
2023-01-06 07:15:23,76.700
2023-01-06 07:15:41,76.700
2023-01-07 08:46:33,76.300
2023-01-07 08:46:47,76.300
2023-01-08 08:55:23,76.600
2023-01-08 08:55:37,76.600
2023-01-09 07:41:24,76.800
2023-01-09 07:41:37,76.800
2023-01-10 08:00:18,76.800
2023-01-10 08:00:32,76.800
2023-01-11 07:58:40,76.700
2023-01-11 07:58:55,76.700
2023-01-12 07:59:48,76.700
2023-01-12 08:00:07,76.700
2023-01-12 08:00:22,76.700
2023-01-13 07:29:21,76.200
2023-01-13 07:29:34,76.200
2023-01-14 08:39:45,76.300
2023-01-14 08:40:00,76.300
2023-01-15 09:10:30,76.000
2023-01-15 09:10:45,76.000
2023-01-15 09:11:03,76.000
2023-01-16 06:51:17,76.100
2023-01-16 06:51:34,76.100
2023-01-16 06:51:49,76.100
2023-01-17 07:22:34,76.100
2023-01-17 07:22:51,76.100
2023-01-18 07:48:48,76.600
2023-01-18 07:49:07,76.600
2023-01-18 11:07:50,75.900
2023-01-18 11:08:08,75.900
2023-01-19 08:09:09,76.100
2023-01-19 08:09:24,76.100
2023-01-20 08:05:45,75.500
2023-01-20 08:06:05,75.500
2023-01-20 08:06:19,75.500
2023-01-21 10:11:06,76.000
2023-01-21 10:11:21,76.000
2023-01-23 08:55:14,75.700
2023-01-23 08:55:40,75.700
2023-01-24 08:50:34,75.200
2023-01-24 08:50:56,75.200
2023-01-25 08:36:52,76.000
2023-01-25 08:37:10,76.000
2023-01-26 07:48:50,75.600
2023-01-26 07:49:08,75.600
2023-01-27 08:02:02,75.800
2023-01-27 08:02:24,75.800
2023-01-27 08:02:40,75.800
2023-01-27 08:02:57,75.800
2023-01-28 08:56:29,76.100
2023-01-28 08:56:42,76.100
2023-01-28 10:30:07,75.800
2023-01-28 10:30:37,75.800
2023-01-29 09:19:19,75.300
2023-01-29 09:19:34,75.300
2023-01-30 07:06:26,75.400
2023-01-30 07:06:43,75.400
2023-01-30 07:07:04,75.400
2023-01-31 07:32:31,75.100
2023-01-31 07:32:50,75.100
2023-02-01 07:41:37,74.800
2023-02-01 07:41:52,74.800
2023-02-01 07:42:06,74.800
2023-02-02 08:25:13,74.700
2023-02-02 08:25:28,74.700
2023-02-05 08:22:13,75.700
2023-02-06 07:18:33,74.800
2023-02-07 07:49:04,74.300
2023-02-07 07:49:22,74.300
2023-02-08 07:42:37,73.900
2023-02-08 07:42:50,73.900
2023-02-09 07:34:23,73.600
2023-02-09 07:34:41,73.600
2023-02-09 07:34:58,73.600
2023-02-10 06:16:42,74.000
2023-02-13 08:28:07,75.100
2023-02-13 08:28:23,75.100
2023-02-13 08:28:44,75.100
2023-02-14 08:30:23,74.400
2023-02-14 08:30:39,74.400
2023-02-15 08:11:51,74.500
2023-02-15 08:12:04,74.500
2023-02-15 08:12:32,74.500
2023-02-16 08:25:16,74.400
2023-02-16 08:25:30,74.400
2023-02-16 08:25:44,74.400
2023-02-20 07:33:57,74.500
2023-02-20 07:34:15,74.500
2023-02-20 07:34:31,74.500
2023-02-21 08:12:50,74.300
2023-02-21 08:13:06,74.300
2023-02-22 07:38:11,74.400
2023-02-22 07:38:26,74.400
2023-02-23 07:53:10,74.800
2023-02-23 07:53:30,74.800
2023-02-24 08:08:40,74.500
2023-02-24 08:08:58,74.500
2023-02-24 08:09:15,74.500
2023-02-25 07:31:55,74.500
2023-02-25 07:32:08,74.500
2023-02-25 07:32:27,74.500
2023-02-26 08:15:33,74.600
2023-02-26 08:15:51,74.600
2023-02-26 08:16:09,74.600
2023-02-27 06:34:38,74.900
2023-02-27 06:34:56,74.900
2023-02-28 08:28:59,74.400
2023-02-28 08:29:15,74.400
2023-03-01 09:22:00,74.200
2023-03-01 09:22:14,74.200
2023-03-02 08:31:23,74.400
2023-03-02 08:31:39,74.400
2023-03-02 08:31:54,74.400
2023-03-03 07:26:14,74.600
2023-03-03 07:26:30,74.600
2023-03-04 07:57:47,74.400
2023-03-04 07:58:04,74.400
2023-03-05 10:03:35,74.900
2023-03-05 10:03:54,74.900
2023-03-06 07:26:16,74.700
2023-03-07 08:07:24,74.400
2023-03-07 08:07:40,74.400
2023-03-08 09:08:40,74.500
2023-03-08 09:08:57,74.500
2023-03-08 09:09:13,74.500
2023-03-09 08:14:39,74.500
2023-03-09 08:14:53,74.500
2023-03-09 08:15:08,74.500
2023-03-10 07:23:05,74.400
2023-03-10 07:23:21,74.400
2023-03-11 10:23:56,74.100
2023-03-11 10:24:13,74.100
2023-03-17 10:05:32,74.000
2023-03-17 10:05:50,74.000
2023-03-17 10:06:03,74.000
2023-03-18 07:41:20,74.000
2023-03-18 07:41:33,74.000
2023-03-18 09:01:14,73.700
2023-03-18 09:01:34,73.700
2023-03-20 09:01:43,73.400
2023-03-20 09:01:57,73.400
2023-03-21 10:16:44,73.300
2023-03-21 10:16:58,73.300
2023-03-22 08:33:36,73.900
2023-03-22 08:34:02,73.900
2023-03-23 08:01:10,74.200
2023-03-23 08:01:24,74.200
2023-03-23 08:01:41,74.200
2023-03-24 07:56:42,73.300
2023-03-24 07:56:55,73.300
2023-03-24 07:57:11,73.300
2023-03-25 08:24:43,73.400
2023-03-25 08:25:00,73.400
2023-03-25 08:25:23,73.400
2023-03-27 10:33:47,74.100
2023-03-27 10:34:03,74.100
2023-03-28 09:43:52,74.300
2023-03-28 09:44:07,74.300
2023-03-29 09:18:25,74.000
2023-03-29 09:18:40,74.000
2023-03-30 08:11:58,74.100
2023-03-30 08:12:15,74.100
2023-03-31 09:37:13,74.000
2023-03-31 09:37:31,74.000
2023-03-31 09:37:50,74.000
2023-04-01 09:59:12,73.900
2023-04-01 09:59:35,73.900
2023-04-03 08:51:36,74.000
2023-04-03 08:51:54,74.000
2023-04-03 08:52:24,74.000
2023-04-04 08:59:13,74.300
2023-04-04 08:59:31,74.300
2023-04-05 09:16:37,74.600
2023-04-05 09:16:52,74.600
2023-04-06 08:21:28,74.500
2023-04-06 08:21:42,74.500
2023-04-06 08:22:26,74.500
2023-04-14 08:29:04,73.900
2023-04-14 08:29:18,73.900
2023-04-15 11:04:55,74.000
2023-04-15 11:05:10,74.000
2023-04-15 11:05:22,74.000
2023-04-18 08:44:30,74.400
2023-04-18 08:44:51,74.400
2023-04-18 08:45:07,74.400
2023-04-20 10:25:13,73.600
2023-04-20 10:25:30,73.600
2023-04-20 10:25:47,73.600
2023-04-22 09:03:26,74.100
2023-04-22 09:03:38,74.100
2023-04-22 09:03:58,74.100
2023-04-22 09:04:13,74.100
2023-04-22 09:04:29,74.100
2023-04-24 09:05:29,74.500
2023-04-24 09:05:45,74.500
2023-04-24 09:05:58,74.500
2023-04-25 10:16:37,74.100
2023-04-25 10:16:58,74.100
2023-04-26 08:56:45,74.100
2023-04-26 08:57:03,74.100
2023-04-27 07:55:15,74.400
2023-04-27 07:55:32,74.400
2023-04-28 09:22:27,74.200
2023-04-28 09:22:43,74.200
2023-04-30 18:50:14,74.500
2023-04-30 18:50:29,74.500
2023-04-30 18:56:34,75.500
2023-04-30 18:58:17,75.500
2023-04-30 18:59:43,75.500
2023-05-01 09:33:31,74.700
2023-05-01 09:33:54,74.700
