Date,Energy consumed(kcal)
2024-01-03,344.320
2024-01-04,
2024-01-05,
2024-01-06,
2024-01-07,
2024-01-08,
2024-01-09,
2024-01-10,
2024-01-11,
2024-01-12,
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,
2024-01-17,
2024-01-18,
2024-01-19,
2024-01-20,
2024-01-21,
2024-01-22,
2024-01-23,
2024-01-24,
2024-01-25,
2024-01-26,
2024-01-27,
2024-01-28,
2024-01-29,
2024-01-30,
2024-01-31,1140.432
2024-02-01,1044.364
2024-02-02,877.632
2024-02-03,
2024-02-04,
2024-02-05,
2024-02-06,
2024-02-07,
2024-02-08,
2024-02-09,
2024-02-10,
2024-02-11,
2024-02-12,
2024-02-13,
2024-02-14,
2024-02-15,
2024-02-16,
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,
2024-02-21,
2024-02-22,
2024-02-23,
2024-02-24,
2024-02-25,
2024-02-26,1150.719
2024-02-27,
2024-02-28,
2024-02-29,
2024-03-01,
2024-03-02,
2024-03-03,1135.000
2024-03-04,542.103
2024-03-05,848.879
2024-03-06,1064.110
2024-03-07,694.241
2024-03-08,
2024-03-09,
2024-03-10,
2024-03-11,
2024-03-12,
2024-03-13,
2024-03-14,
2024-03-15,
2024-03-16,
2024-03-17,
2024-03-18,
2024-03-19,
2024-03-20,
2024-03-21,426.640
2024-03-22,
2024-03-23,
2024-03-24,
2024-03-25,
2024-03-26,1332.080
2024-03-27,292.391
2024-03-28,
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,
2024-04-02,1688.590
2024-04-03,1699.477
2024-04-04,1688.010
2024-04-05,1424.546
2024-04-06,1617.966
2024-04-07,1770.033
2024-04-08,1769.090
2024-04-09,1656.707
2024-04-10,1713.846
2024-04-11,1555.853
2024-04-12,1527.932
2024-04-13,2362.862
2024-04-14,623.200
2024-04-15,1214.774
2024-04-16,1136.070
2024-04-17,1859.450
2024-04-18,1382.041
2024-04-19,1703.610
2024-04-20,818.470
2024-04-21,580.000
2024-04-22,
2024-04-23,
2024-04-24,
2024-04-25,1143.700
2024-04-26,919.652
2024-04-27,
2024-04-28,
2024-04-29,
2024-04-30,1131.260
2024-05-01,967.983
2024-05-02,1070.252
2024-05-03,41.830
2024-05-04,
2024-05-05,
2024-05-06,559.767
2024-05-07,525.032
2024-05-08,410.960
2024-05-09,
2024-05-10,
2024-05-11,
2024-05-12,
2024-05-13,1061.961
2024-05-14,1016.592
2024-05-15,
2024-05-16,851.934
2024-05-17,231.760
2024-05-18,
2024-05-19,
2024-05-20,
2024-05-21,405.320
2024-05-22,726.802
2024-05-23,1749.317
2024-05-24,1257.312
2024-05-25,
2024-05-26,
2024-05-27,784.341
2024-05-28,541.872
2024-05-29,960.253
2024-05-30,
2024-05-31,
2024-06-01,
2024-06-02,
2024-06-03,
2024-06-04,
2024-06-05,435.074
2024-06-06,376.487
2024-06-07,
2024-06-08,
2024-06-09,
2024-06-10,
2024-06-11,
2024-06-12,
2024-06-13,
2024-06-14,
2024-06-15,
2024-06-16,
2024-06-17,
2024-06-18,483.381
