Date,Body fat percentage(%)
2022-08-08 12:00:00,0.220
2022-08-12 07:42:05,0.219
2022-08-13 08:19:16,0.219
2022-08-16 07:41:41,0.223
2022-08-19 09:14:30,0.224
2022-08-19 09:14:42,0.224
2022-08-20 08:25:43,0.224
2022-08-20 08:25:57,0.224
2022-08-20 08:26:09,0.224
2022-08-22 08:34:27,0.224
2022-08-23 08:47:52,0.223
2022-08-23 08:48:04,0.222
2022-08-25 08:44:22,0.220
2022-08-25 08:44:36,0.220
2022-08-31 07:24:30,0.222
2022-08-31 07:24:48,0.222
2022-09-01 09:10:05,0.219
2022-09-02 07:06:35,0.221
2022-09-02 07:06:51,0.221
2022-09-03 07:41:28,0.223
2022-09-04 07:58:01,0.223
2022-09-04 07:58:15,0.223
2022-09-05 07:12:35,0.222
2022-09-05 07:12:49,0.222
2022-09-06 07:58:31,0.218
2022-09-06 07:58:48,0.218
2022-09-07 07:38:59,0.218
2022-09-07 07:39:18,0.218
2022-09-08 08:19:01,0.219
2022-09-08 08:19:49,0.220
2022-09-08 11:04:22,0.217
2022-09-08 11:04:36,0.217
2022-09-09 09:01:38,0.218
2022-09-09 09:01:52,0.218
2022-09-11 07:51:39,0.218
2022-09-11 07:51:51,0.218
2022-09-12 11:39:07,0.217
2022-09-13 09:29:20,0.218
2022-09-13 09:29:35,0.218
2022-09-18 08:55:21,0.216
2022-09-18 08:55:33,0.216
2022-09-19 09:54:53,0.215
2022-09-19 09:55:05,0.215
2022-09-20 09:10:34,0.217
2022-09-23 11:21:59,0.217
2022-09-23 11:22:16,0.216
2022-09-24 11:17:06,0.215
2022-09-24 11:17:18,0.215
2022-09-26 09:49:43,0.216
2022-09-26 09:49:54,0.215
2022-09-27 10:42:06,0.215
2022-09-27 10:42:18,0.215
2022-09-29 08:59:58,0.216
2022-09-29 09:00:10,0.216
2022-09-30 09:02:49,0.214
2022-09-30 09:03:02,0.214
2022-10-03 08:25:02,0.217
2022-10-03 08:25:16,0.216
2022-10-04 08:12:56,0.215
2022-10-04 08:13:15,0.214
2022-10-05 09:49:03,0.213
2022-10-05 09:49:18,0.213
2022-10-07 06:09:54,0.213
2022-10-07 06:10:32,0.213
2022-10-07 06:10:44,0.213
2022-10-12 08:18:03,0.211
2022-10-12 08:18:18,0.211
2022-10-13 08:01:26,0.215
2022-10-13 08:01:50,0.215
2022-10-13 08:02:03,0.215
2022-10-14 07:04:33,0.213
2022-10-14 07:04:47,0.213
2022-10-14 08:12:00,0.213
2022-10-14 08:12:12,0.212
2022-10-17 08:53:19,0.207
2022-10-17 08:53:32,0.207
2022-10-18 08:35:53,0.208
2022-10-18 08:36:09,0.209
2022-10-19 09:47:44,0.210
2022-10-19 09:47:57,0.210
2022-10-19 09:48:20,0.210
2022-10-20 11:28:20,0.211
2022-10-20 11:28:32,0.211
2022-10-21 08:16:08,0.211
2022-10-21 08:16:21,0.211
2022-10-22 10:18:54,0.210
2022-10-22 10:19:08,0.210
2022-10-23 08:57:37,0.210
2022-10-23 10:59:39,0.210
2022-10-24 08:06:41,0.209
2022-10-24 08:06:54,0.209
2022-10-25 08:32:50,0.207
2022-10-25 08:33:00,0.207
2022-10-26 08:09:12,0.207
2022-10-26 08:09:27,0.206
2022-10-27 07:26:55,0.208
2022-10-27 07:27:15,0.207
2022-10-28 09:15:19,0.205
2022-10-28 09:15:34,0.205
2022-10-29 08:21:59,0.205
2022-10-29 08:22:16,0.205
2022-10-30 08:59:54,0.206
2022-10-30 09:00:05,0.206
2022-10-31 09:41:10,0.206
2022-10-31 09:41:21,0.206
2022-11-01 07:32:00,0.206
2022-11-01 08:23:17,0.229
2022-11-01 08:23:30,0.229
2022-11-02 07:32:00,0.205
2022-11-02 09:09:22,0.232
2022-11-02 09:09:35,0.231
2022-11-02 09:10:08,0.231
2022-11-02 09:10:22,0.231
2022-11-03 07:32:00,0.204
2022-11-03 08:06:49,0.231
2022-11-03 08:09:06,0.231
2022-11-04 09:52:01,0.227
2022-11-04 09:52:27,0.226
2022-11-05 07:32:00,0.203
2022-11-05 08:56:33,0.227
2022-11-05 08:56:47,0.228
2022-11-06 07:33:00,0.203
2022-11-06 09:08:20,0.225
2022-11-06 09:08:32,0.226
2022-11-07 07:33:00,0.202
2022-11-07 08:06:46,0.225
2022-11-07 08:07:10,0.226
2022-11-07 08:07:23,0.225
2022-11-08 07:35:00,0.201
2022-11-08 07:54:56,0.225
2022-11-08 09:46:22,0.224
2022-11-09 07:24:39,0.223
2022-11-09 07:24:52,0.223
2022-11-09 07:35:00,0.200
2022-11-10 07:24:28,0.223
2022-11-10 07:25:21,0.223
2022-11-10 07:37:00,0.200
2022-11-11 07:12:35,0.199
2022-11-11 07:12:49,0.198
2022-11-12 07:45:09,0.200
2022-11-12 07:45:21,0.200
2022-11-12 12:19:31,0.199
2022-11-12 12:19:44,0.199
2022-11-13 09:03:09,0.200
2022-11-13 09:03:25,0.200
2022-11-14 06:23:03,0.198
2022-11-14 06:23:16,0.198
2022-11-15 09:05:28,0.201
2022-11-15 09:05:40,0.201
2022-11-16 08:46:01,0.200
2022-11-16 08:46:25,0.200
2022-11-17 08:23:14,0.198
2022-11-17 09:39:26,0.198
2022-11-18 09:58:33,0.198
2022-11-18 09:58:49,0.198
2022-11-19 08:10:04,0.196
2022-11-19 08:10:15,0.196
2022-11-19 08:10:32,0.196
2022-11-20 08:27:00,0.198
2022-11-20 08:27:16,0.198
2022-11-21 08:01:33,0.196
2022-11-21 08:01:49,0.196
2022-11-22 07:39:33,0.197
2022-11-22 07:40:18,0.196
2022-11-22 07:40:32,0.196
2022-11-23 07:36:53,0.197
2022-11-24 07:20:24,0.198
2022-11-24 07:20:45,0.198
2022-11-25 06:47:53,0.196
2022-11-25 06:48:07,0.196
2022-11-26 10:53:08,0.195
