Date,Lean body mass(kg)
2022-08-08 12:00:00,63.800
2022-08-08 16:09:00,63.800
2022-08-12 07:42:05,63.500
2022-08-13 08:19:16,63.400
2022-08-16 07:41:41,63.700
2022-08-19 09:14:30,63.800
2022-08-19 09:14:42,63.800
2022-08-20 08:25:43,63.800
2022-08-20 08:25:57,63.800
2022-08-20 08:26:09,63.800
2022-08-22 08:34:27,63.700
2022-08-23 08:47:52,63.500
2022-08-23 08:48:04,63.500
2022-08-25 08:44:22,63.400
2022-08-25 08:44:36,63.400
2022-08-31 07:24:30,63.600
2022-08-31 07:24:48,63.700
2022-09-01 09:10:05,63.400
2022-09-02 07:06:35,63.600
2022-09-02 07:06:51,63.600
2022-09-03 07:41:28,63.600
2022-09-04 07:58:01,63.600
2022-09-04 07:58:15,63.600
2022-09-05 07:12:35,63.600
2022-09-05 07:12:49,63.600
2022-09-06 07:58:31,63.400
2022-09-06 07:58:48,63.400
2022-09-07 07:38:59,63.300
2022-09-07 07:39:18,63.300
2022-09-08 08:19:01,63.300
2022-09-08 08:19:49,63.300
2022-09-08 11:04:22,63.300
2022-09-08 11:04:36,63.300
2022-09-09 09:01:38,63.300
2022-09-09 09:01:52,63.200
2022-09-11 07:51:39,63.100
2022-09-11 07:51:51,63.100
2022-09-12 11:39:07,63.300
2022-09-13 09:29:20,63.100
2022-09-13 09:29:35,63.200
2022-09-18 08:55:21,63.000
2022-09-18 08:55:33,63.000
2022-09-19 09:54:53,63.000
2022-09-19 09:55:05,63.000
2022-09-20 09:10:34,63.100
2022-09-23 11:21:59,63.200
2022-09-23 11:22:16,63.300
2022-09-24 11:17:06,63.000
2022-09-24 11:17:18,63.000
2022-09-26 09:49:43,63.200
2022-09-26 09:49:54,63.200
2022-09-27 10:42:06,62.900
2022-09-27 10:42:18,63.000
2022-09-29 08:59:58,63.000
2022-09-29 09:00:10,63.000
2022-09-30 09:02:49,62.800
2022-09-30 09:03:02,62.900
2022-10-03 08:25:02,63.100
2022-10-03 08:25:16,63.100
2022-10-04 08:12:56,63.000
2022-10-04 08:13:15,63.000
2022-10-05 09:49:03,62.800
2022-10-05 09:49:18,62.800
2022-10-07 06:09:54,62.900
2022-10-07 06:10:32,62.900
2022-10-07 06:10:44,62.900
2022-10-12 08:18:03,62.800
2022-10-12 08:18:18,62.800
2022-10-13 08:01:26,63.000
2022-10-13 08:01:50,63.000
2022-10-13 08:02:03,63.000
2022-10-14 07:04:33,63.000
2022-10-14 07:04:47,62.900
2022-10-14 08:12:00,62.900
2022-10-14 08:12:12,62.900
2022-10-17 08:53:19,62.600
2022-10-17 08:53:32,62.600
2022-10-18 08:35:53,62.500
2022-10-18 08:36:09,62.400
2022-10-19 09:47:44,62.600
2022-10-19 09:47:57,62.600
2022-10-19 09:48:20,62.600
2022-10-20 11:28:20,62.700
2022-10-20 11:28:32,62.700
2022-10-21 08:16:08,62.700
2022-10-21 08:16:21,62.700
2022-10-22 10:18:54,62.600
2022-10-22 10:19:08,62.600
2022-10-23 08:57:37,62.600
2022-10-23 10:59:39,62.700
2022-10-24 08:06:41,62.600
2022-10-24 08:06:54,62.600
2022-10-25 08:32:50,62.500
2022-10-25 08:33:00,62.500
2022-10-26 08:09:12,62.300
2022-10-26 08:09:27,62.300
2022-10-27 07:26:55,62.400
2022-10-27 07:27:15,62.400
2022-10-28 09:15:19,62.500
2022-10-28 09:15:34,62.500
2022-10-29 08:21:59,62.200
2022-10-29 08:22:16,62.200
2022-10-30 08:59:54,62.500
2022-10-30 09:00:05,62.500
2022-10-31 09:41:10,62.500
2022-10-31 09:41:21,62.500
2022-11-01 08:23:17,60.700
2022-11-01 08:23:30,60.700
2022-11-02 09:09:22,60.600
2022-11-02 09:09:35,60.700
2022-11-02 09:10:08,60.700
2022-11-02 09:10:22,60.700
2022-11-03 08:06:49,60.600
2022-11-03 08:09:06,60.600
2022-11-04 09:52:01,60.300
2022-11-04 09:52:27,60.300
2022-11-05 08:56:33,60.200
2022-11-05 08:56:47,60.200
2022-11-06 09:08:20,60.200
2022-11-06 09:08:32,60.200
2022-11-07 08:06:46,60.300
2022-11-07 08:07:10,60.200
2022-11-07 08:07:23,60.300
2022-11-08 07:54:56,60.300
2022-11-08 09:46:22,60.400
2022-11-09 07:24:39,60.100
2022-11-09 07:24:52,60.100
2022-11-10 07:24:28,60.100
2022-11-10 07:25:21,60.100
2022-11-11 07:12:35,61.800
2022-11-11 07:12:49,61.800
2022-11-12 07:45:09,61.900
2022-11-12 07:45:21,61.900
2022-11-12 12:19:31,61.990
2022-11-12 12:19:44,61.980
2022-11-13 09:03:09,61.960
2022-11-13 09:03:25,61.950
2022-11-14 06:23:03,61.880
2022-11-14 06:23:16,61.900
2022-11-15 09:05:28,62.010
2022-11-15 09:05:40,62.000
2022-11-16 08:46:01,61.920
2022-11-16 08:46:25,61.940
2022-11-17 08:23:14,61.900
2022-11-17 09:39:26,61.940
2022-11-18 09:58:33,61.910
2022-11-18 09:58:49,61.910
2022-11-19 08:10:04,61.670
2022-11-19 08:10:15,61.670
2022-11-19 08:10:32,61.660
2022-11-20 08:27:00,61.810
2022-11-20 08:27:16,61.830
2022-11-21 08:01:33,61.750
2022-11-21 08:01:49,61.760
2022-11-22 07:39:33,61.790
2022-11-22 07:40:18,61.800
2022-11-22 07:40:32,61.790
2022-11-23 07:36:53,61.680
2022-11-24 07:20:24,61.860
2022-11-24 07:20:45,61.850
2022-11-25 06:47:53,61.810
2022-11-25 06:48:07,61.810
2022-11-26 10:53:08,61.810
2022-11-26 10:53:20,61.810
2022-11-27 08:06:31,61.790
2022-11-27 08:07:06,61.810
2022-11-28 07:37:14,61.980
2022-11-28 07:37:27,62.000
2022-11-29 07:46:41,61.940
2022-11-29 07:47:01,61.940
2022-11-30 08:02:49,61.590
2022-11-30 08:03:01,61.560
2022-12-01 07:42:21,61.550
2022-12-01 07:42:36,61.560
2022-12-01 07:43:09,61.570
2022-12-02 08:25:06,61.700
2022-12-02 09:46:48,61.600
2022-12-02 09:47:02,61.600
2022-12-03 08:40:49,61.520
2022-12-03 08:41:01,61.520
2022-12-04 10:02:06,61.520
2022-12-04 10:02:17,61.500
2022-12-05 07:23:35,61.800
2022-12-05 07:23:51,61.790
2022-12-06 07:39:35,61.770
2022-12-06 07:39:48,61.740
2022-12-07 07:23:58,61.740
2022-12-08 07:41:44,61.400
2022-12-08 07:41:58,61.440
2022-12-09 07:14:53,61.550
2022-12-09 07:15:04,61.560
2022-12-10 10:42:42,61.430
2022-12-10 10:42:59,61.450
2022-12-12 09:17:01,61.670
2022-12-12 09:17:12,61.670
2022-12-13 10:11:19,61.650
2022-12-16 09:40:46,61.570
2022-12-16 09:41:04,61.610
2022-12-17 10:22:13,61.480
2022-12-17 10:22:26,61.480
2022-12-19 09:09:39,61.810
2022-12-20 09:51:10,61.800
2022-12-20 09:51:29,61.810
2022-12-27 08:32:19,61.450
2022-12-27 08:32:34,61.480
2022-12-28 07:17:10,61.770
2022-12-28 07:17:23,61.770
2022-12-29 09:43:11,61.720
2022-12-29 09:43:25,61.770
2022-12-29 09:43:42,61.760
2022-12-30 07:46:48,61.650
2022-12-30 07:47:06,61.680
2023-01-01 11:18:14,61.760
2023-01-01 11:18:33,61.780
2023-01-01 11:18:50,61.770
2023-01-02 08:25:41,61.810
2023-01-02 08:25:56,61.840
2023-01-02 08:26:12,61.860
2023-01-03 08:37:39,61.940
2023-01-03 08:37:56,61.940
2023-01-03 08:38:11,61.960
2023-01-04 08:24:41,61.730
2023-01-04 08:24:54,61.750
2023-01-05 08:18:54,61.670
2023-01-05 08:19:09,61.680
2023-01-06 07:15:23,61.690
2023-01-06 07:15:41,61.700
2023-01-07 08:46:33,61.580
2023-01-07 08:46:47,61.570
2023-01-08 08:55:23,61.660
2023-01-08 08:55:37,61.680
2023-01-09 07:41:24,61.770
2023-01-09 07:41:37,61.770
2023-01-10 08:00:18,61.730
2023-01-10 08:00:32,61.740
2023-01-11 07:58:40,61.700
2023-01-11 07:58:55,61.730
2023-01-12 07:59:48,61.660
2023-01-12 08:00:07,61.680
2023-01-12 08:00:22,61.700
2023-01-13 07:29:21,61.460
2023-01-13 07:29:34,61.480
2023-01-14 08:39:45,61.570
2023-01-14 08:40:00,61.580
2023-01-15 09:10:30,61.440
2023-01-15 09:10:45,61.460
2023-01-15 09:11:03,61.450
2023-01-16 06:51:17,61.460
2023-01-16 06:51:34,61.480
2023-01-16 06:51:49,61.480
2023-01-17 07:22:34,61.520
2023-01-17 07:22:51,61.510
2023-01-18 07:48:48,61.670
2023-01-18 07:49:07,61.660
2023-01-18 11:07:50,61.470
2023-01-18 11:08:08,61.460
2023-01-19 08:09:09,61.470
2023-01-19 08:09:24,61.480
2023-01-20 08:05:45,61.240
2023-01-20 08:06:05,61.280
2023-01-20 08:06:19,61.270
2023-01-21 10:11:06,61.380
2023-01-21 10:11:21,61.440
2023-01-23 08:55:14,61.390
2023-01-23 08:55:40,61.400
2023-01-24 08:50:34,61.150
2023-01-24 08:50:56,61.160
2023-01-25 08:36:52,61.440
2023-01-25 08:37:10,61.450
2023-01-26 07:48:50,61.320
2023-01-26 07:49:08,61.300
2023-01-27 08:02:02,61.350
2023-01-27 08:02:24,61.350
2023-01-27 08:02:40,61.370
2023-01-27 08:02:57,61.390
2023-01-28 08:56:29,61.490
2023-01-28 08:56:42,61.510
2023-01-28 10:30:07,61.330
2023-01-28 10:30:37,61.370
2023-01-29 09:19:19,61.180
2023-01-29 09:19:34,61.180
2023-01-30 07:06:26,61.300
2023-01-30 07:06:43,61.290
2023-01-30 07:07:04,61.280
2023-01-31 07:32:31,61.130
2023-01-31 07:32:50,61.130
2023-02-01 07:41:37,60.960
2023-02-01 07:41:52,60.980
2023-02-01 07:42:06,60.990
2023-02-02 08:25:13,60.950
2023-02-02 08:25:28,60.970
